"Project","IP","Status"
"Single Window Initiative","103","On track"
"Establishment Licensing and Inspections","435","Attention required"
"Drug Shortages","628","On track"
"ROEB Data Analytics & Business Solutions","A01","Attention required"
"ROEB Electronic Licensing and Global Supply Chain Mapping","A02","On track"
"Enabling Compliance and Enforcement Program Delivery","A03","On track"
"ROEB Aging IT (Stabilization/Modernization/Transformation)","A04","On track"
"Drug and Health Product Inspections Database","A05","Attention required"
"Modernizing the ROEB Employee eToolkit","A06","On track"
"Border Compliance IT Modernization","701",
"Quality Management System","704",
"ROEB IM Strategy Plan",,
"GCdocs Project","A07",
"DAS Modernization","705","On track"
"Project Cyclops","SF2018","On track"
"Gadget Phase I",,"On track"
"Hummingbird",,"On track"
"Project Cipher",,"On track"
