"Project","Deliverables","Planned.Start","Planned.End","Actual.Start","Actual.End","Completion"
"Single Window Initiative","Project Close-out (DG-IP)",2017-08-01,2018-03-31,2018-08-01,2019-01-11,100
"Single Window Initiative","Project Close-out (EC-FIPT)",2017-08-01,2018-03-31,2018-08-01,,90
"Drug Shortages","R2.2 Phase 2",2018-10-17,2018-10-24,2018-07-24,2018-10-24,100
"Drug Shortages","R2.3 Development",2018-10-01,2018-11-09,2018-10-01,2018-11-23,100
"Drug Shortages","R2.3 UAT & Bug fixes",2018-11-26,2018-12-10,2018-11-26,2018-12-06,100
"Drug Shortages","R2.3 Communication",2018-11-19,2018-12-18,2018-11-06,2018-12-18,100
"Drug Shortages","R2.3 Production Release",2018-12-18,2018-12-18,2018-12-19,2018-12-19,100
"Drug Shortages","R2.4 Business Requirements",2018-11-01,2018-11-19,2018-11-01,2018-11-30,100
"Drug Shortages","R2.4 Development",2019-01-07,2019-03-15,2019-01-21,,60
"Drug Shortages","R2.4 UAT & Bug Fixes",2019-03-18,2019-03-29,2019-02-15,,50
"Drug Shortages","R2.4 Communication",2019-03-29,2019-03-29,,,0
"Drug Shortages","R2.4 Production Release",2019-03-31,2019-03-31,,,0
"Drug Shortages","R2.4 Demo to stakeholders",2019-04-10,2019-04-10,,,0
"Establishment Licensing and Inspections","Complete options analysis & have business case DG/ADM approved",2017-09-08,2017-11-17,2017-09-08,2018-06-14,100
"Establishment Licensing and Inspections","Business Case DG/ADM approved",2017-09-08,2017-11-17,2018-04-24,2018-12-18,100
"Establishment Licensing and Inspections","Project Charter DG/ADM approved",2017-09-08,2017-11-17,2017-11-01,2018-12-18,100
"Establishment Licensing and Inspections","Complete preliminary PCRA",2017-09-08,2017-11-17,2018-09-11,2018-09-11,100
"Establishment Licensing and Inspections","Complete stage 2 costing",2017-09-08,2017-11-17,2018-06-14,2018-10-01,100
"Establishment Licensing and Inspections","DG-IP Gate 2 Review",2017-09-08,2017-12-09,2018-12-01,2018-12-18,100
"Establishment Licensing and Inspections","EC-FIPT Gate 2 Approval",2017-09-08,2017-12-09,2019-01-16,2019-01-16,100
"Establishment Licensing and Inspections","Procurement Management Plan",2019-01-16,2019-03-31,,,0
"Establishment Licensing and Inspections","Privacy Plan",2019-01-16,2019-03-31,2019-01-16,,90
"Establishment Licensing and Inspections","Finalise the High Level Functional Requirements",2019-01-16,2019-03-31,2019-01-16,,40
"Establishment Licensing and Inspections","Information Architecture",2019-01-16,2019-03-31,2019-02-18,,10
"Establishment Licensing and Inspections","Components Interoperability Requirements",2019-01-16,2019-03-31,,,0
"Establishment Licensing and Inspections","High Level Solution Architecture and Design",2019-01-16,2019-03-31,,,0
"ROEB Data Analytics & Business Solutions","Branch IT assessment",2019-10-01,2020-06-30,2019-10-01,,60
"ROEB Data Analytics & Business Solutions","ROEB data literacy program",2019-10-01,2021-06-30,2019-10-01,,20
"ROEB Data Analytics & Business Solutions","Branch data analytics policy",2019-10-01,2020-12-31,2019-10-01,,30
"ROEB Data Analytics & Business Solutions","Data inventory",2019-10-01,2021-06-30,2019-10-01,,20
"ROEB Data Analytics & Business Solutions","Improving hardware & data science environment",2020-04-01,2020-12-31,,,0
"ROEB Data Analytics & Business Solutions","Project Cipher deliverables",2019-10-01,2021-06-30,2019-10-01,,20
"ROEB Data Analytics & Business Solutions","Project Cyclops deliverables",2019-10-01,2021-06-30,2019-10-01,,20
"ROEB Data Analytics & Business Solutions","Use case: EHP PMF",2019-10-01,2021-03-31,2019-10-01,,25
"ROEB Data Analytics & Business Solutions","Use case: Drug analysis",2019-10-01,2020-09-30,2019-10-01,,40
"ROEB Data Analytics & Business Solutions","PSES dashboard",2019-10-01,2021-06-30,2019-10-01,,20
"ROEB Data Analytics & Business Solutions","Strategic roadmap (DASR) for 2020/21",2020-01-01,2020-03-31,2020-01-01,,80
"ROEB Electronic Licensing and Global Supply Chain Mapping","Pitch to Directors",2019-02-07,2019-02-07,2019-02-07,2019-02-07,100
"ROEB Electronic Licensing and Global Supply Chain Mapping","Identify program SMEs",2019-02-07,2019-02-19,2019-02-07,,10
"ROEB Electronic Licensing and Global Supply Chain Mapping","Whiteboard sessions for requirements gathering",2019-03-04,2019-03-04,,,0
"ROEB Electronic Licensing and Global Supply Chain Mapping","Questionnarie completed",2019-03-13,2019-03-13,,,0
"ROEB Electronic Licensing and Global Supply Chain Mapping","Draft requirements and use cases",2019-03-04,2019-03-29,,,0
"ROEB Electronic Licensing and Global Supply Chain Mapping","Appoval of requirements",2019-04-12,2019-04-12,,,0
"Enabling Compliance and Enforcement Program Delivery","Pilot LMS: Cannabis",2018-07-01,2018-12-31,2018-07-01,,95
"Enabling Compliance and Enforcement Program Delivery","Pilot JIRA: First 3 instances (DEL, Border, AMS)",2018-09-01,2019-01-01,2018-09-01,,75
"Enabling Compliance and Enforcement Program Delivery","Pre-build activities - LMS: Health Product Inspection and Licensing",2018-12-01,2018-12-16,2018-12-01,2019-02-15,100
"Enabling Compliance and Enforcement Program Delivery","Pre-build activities - LMS: Tobacco & Vaping",2018-11-01,2018-11-16,2018-11-01,2018-11-16,100
"Enabling Compliance and Enforcement Program Delivery","Build activities - LMS: Tobacco & Vaping",2018-11-16,2019-01-04,2018-11-16,,65
"Enabling Compliance and Enforcement Program Delivery","Jira to Production",2019-03-07,2019-03-30,2019-03-01,,5
